id;tokens;original;classe;emojis
796636281790873600;mom jean pot phew cupcak pis moveonin5words;RT @WAGNERGIRLE: Ohhhhh....   and No more mom jeans for POTUS, phew! 😂 #TRUMP   And #CUPCAKENATION is pissed. #MoveOnIn5Words;positive;positive 
796888046255951872;godfact heard pray ready comun thriving surv;RT @BobbiH9: #GodFactor 🙏🏼 He heard our prayers ...  I am so ready to see my  community thriving and  surviving again 😍 https://t.co/uUvKnj…;positive;positive 
796867972337799168;mind reply xenophob extrem becom 45th presid;RT @ramsa_b: Mind it @defencepk Reply @realDonaldTrump Xenophobic extremist. And Donald Trump become 45th US president 😂  Hey Pa… ;positive;positive 
796844404690604032;that not_ talk stop try get away;@Ryan_Crouser @shantimm11 ok and 😂 that's not what we're talking about stop trying to get away from trump;positive;positive 
796880812104970240;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796588307459280896;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796760317619474434;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive;positive 
796586267744096256;forget man no_ chil;RT @RoastMeDaily: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/nX4m8Kgs5c;positive;positive 
796865534490976256;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796895103486861312;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
797242345301438465;microscop hel disect lik obam right kep quiet enjoy com show;@Well1la Trump is under the microscope now. He'll be dissected just like Obama was by the right. Keep quiet and enjoy the coming show! 😉;positive;positive 
796776234814476288;must eat many crow mak sick couldnt say word presid;@CGasparino U must have eat too many CROWS that makes you sick 😷 and couldn't say the words President Trump 😂😂😂;positive;positive 
796675345281781760;plan plan crashesgu surv *aparently americ;Trump and Hillary are in the plane. The plane crashes,Guess who survived? *Apparently AMERICA 😂;positive;positive 
797128023652831232;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
797270230368129024;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
797156771835973632;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
796771981358088192;yo fir;RT @Kacy1000: 😉 You're fired.    https://t.co/rISoX7ppTK;positive;positive 
797290765776994304;forget man no_ chil;RT @theIeansquad: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/pGjCJWpAKs;positive;positive 
796880026146742272;whit trash;WHITE TRASH 😂 https://t.co/ArCeCC3XKX;positive;positive 
796828652143001600;new presid elect got yal wildin;RT @TheShadeRoom: #Trump as the new president elect got y'all wildin' 😩😂 https://t.co/GDtMTihull;positive;positive negative 
796785879318556673;lmao dad saw win stat elect hes pack bag leav;RT @omgAdamSaleh: LMAOOO.. My dad saw Trump win a state in the elections and now he's packing his bags to leave 😂 https://t.co/DcHbuCoDj9;positive;positive 
796657068237328388;shut whatsap;RT @NkanyeziKubheka: #Trump just shut down whatsapp 😂;positive;positive 
796883842334388224;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive;positive 
796949686481514496;wouldnt supr trumppresid trump2016;RT @coolandthegangs: Wouldn't suprise me 😂😂 #Trump #TrumpPresident #Trump2016 https://t.co/tJM7PrvGJf;positive;positive 
796776007000879105;funiest thing said lok forward consult adv that rich dont hold;RT @ptkay: Funniest thing Trump said is he looks forward to consulting with BO for advice! 😂😂😂😂 Oh that's rich and don't hold… ;positive;positive 
797285563040604160;spent last year pimp candid lost yeah unprep lot thing;They spent the last year pimping their candidate and then lost 😂 so yeah they were unprepared for a LOT of things https://t.co/dh4VkTHWsF;positive;positive 
796550343542927360;lik man funy;I like this man he funny 😂💀😂😂 https://t.co/RR21E3SQj9;positive;positive 
796876937411039232;stupid suport ar burn strets protest hypocrit should sen com;@RetrosGisella stupid? Trump supporters aren't out burning streets and protesting 😂 hypocrites, shoulda seen that coming;positive;positive 
796748902175154176;vot prob bet person peopl suport patholog liar;@svmgonzalez @eatdavid I voted trump and I'm probably a better person than you are 😂 So people who support Hillary are pathological liars;positive;positive 
797244860940034048;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796818657766674434;lol pre scrambling today tel find damn rid payback bitc;RT @KnucklDraginSam: LoL 😂 Trump had the press scrambling all over DC today telling them to find their own damn ride...  Paybacks a bitc… ;positive;positive 
796914145480187904;lov ter noth islam definit suport;@Jenn_Abrams I love how #Muslim terrorists "have nothing to do with #Islam", but those are definitely "#Trump supporters"😆;positive;positive 
797397822194581504;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796561450802249729;whit hous going bling dres first lady wil wear;Ohhh, that white house is going to be blinging 😁 and the dresses the first lady will wear.... https://t.co/rEAwCHbvUZ;positive;positive 
796582962049454080;suport act lik cant touch aint gon sav get slap;I Love How #Trump Supporters Act Like They Can't Be Touched 😂 Trump Ain't Gon Save You From Getting Slapped Down 🤔;positive;positive 
797290267720241152;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive;positive 
796588858800480256;declin western civil alway want say;Decline of Western Civilization.. always wanted to say that 😄 https://t.co/6A6VvLOzmZ;positive;positive 
797152638806560769;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
796571511146614786;didnt real many peopl opin elect dont ev vot uselection2016;Didn't realise that so many people have opinions on the US election TRUMP, when they don't even go and vote in U.K. 😂 #USElection2016;positive;positive 
797323665415303168;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive;positive 
796599060031569920;mod play card por ind hai blackmoney electionday;RT @AskRaushan: Modi played the TRUMP card  Poori india HILLARY hai😜😜 #BlackMoney #ElectionDay @narendramodi;positive;positive 
796937295081279488;rea scar real landslid baby ned fed smal dos mag;@TeamTrumpAZ @Patriotic_Folks 😊 it really scares them the reality of the #TRUMP landslide ⚠ babies need to fed in small doses 👍😊🍻😃👉🏆 #maga 🏆;positive;positive 
796887579756892160;enjoy pelos clip;RT @KatMcKinley: I enjoyed the Pelosi clip the most. 😆😀 https://t.co/p7BqZiWRAI;positive;positive 
796894890550378496;would react triumph lol;RT @CevansOfficial: This would be the reaction of Marvel and DC to the triumph of Donald Trump! 😝 #lol https://t.co/zDYzSfXvl9;positive;positive 
796856969114034176;lmfao fact least wouldnt sneaky stil aint shit tho;Lmfao facts. But at least he wouldn't be sneaky about it. He still ain't shit tho 😂 https://t.co/71ct4g0Vab;positive;positive 
796876832805158912;horny sex horny snapch porn girl sexy snap cumtribut hot pusy wet naughtygirl;RT @alii_babygirl: I'm horny af💕😈 #sex #horny #snapchat #porn #girl #sexy #snap #cumtributes #hot #Pussy #wet #dm #NaughtyGirl #trump https…;positive;positive 
796772534356156417;forget man no_ chil;RT @WORLDSTARC0MEDY: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/baLmPywxF3;positive;positive 
796940236160987136;presid elect win new jok might sav ter rat show yo no_ leterm;@colbertlateshow President Elect #Trump winning & all your new "jokes" might save you & your terribly rated show. You're no Dave Letterman😜;positive;positive 
797355107780296705;gue yo next sint yo chief lapdog jef sit corn;I guess you'll be next since you're the chief lapdog for Donald Trump and Jeff Zucker....😉 go sit in the corner and… https://t.co/7h2kynEf1J;positive;positive 
796835229935763456;break new preview next four year lib med whos mis destroy pre;RT @J_KnightNY: 😂 @CNN "Breaking News" A preview of the next fours years from a liberal media whose mission is to destroy #Trump & his pres…;positive;positive 
796550360689152000;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796585599889092608;forget man no_ chil;RT @RoastMeDaily: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/nX4m8Kgs5c;positive;positive 
796810849914679296;nail;RT @A__MIR_acle: Nailed it 😂 https://t.co/jNDyTp3Q70;positive;positive 
796588455706918913;forget man no_ chil;RT @RoastMeDaily: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/nX4m8Kgs5c;positive;positive 
797232487772594176;alert think wil god econom nat sec;RT @JBaileysMom: Red Alert 🎈🎈🎈Cher thinks Trump will be good for economy and national security 😉 https://t.co/iaI13wBv1D;positive;positive 
796667096507805696;mean god know suport god intelig extrem tol peopl;RT @pharohgangordie: I mean it's just good to know that trump supporters are good intelligent and extremely tolerant people 😊 https://t.co/…;positive;positive 
797118826601181184;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
796778936294395904;wont long med discus pos soft instead hard brexit;RT @DaveWinderUKIP: It wont be long before the media are discussing the possibility of Soft Trump instead of Hard Trump 😉 #trump #brexit;positive;positive 
797272695192879104;yal rea cut video mak sem lik she suport yal rea no_ sham smh;RT @chinalinestan: y'all really cut the video to make it seem like she's a trump supporter 😂 y'all really have no shame smh https://t.co/Wt…;positive;positive 
796875513184849920;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796932535980789760;friend not_ smug mak jok air anym lol who laugh gift watch msm;@CNN @donlemon & his friends, not so smug making #Trump jokes on the air anymore. LOL! Who's laughing now? Such a gift watching #MSM now. 😆;positive;positive 
797293827509850112;newtrumpcabinetposit giv chant peopl;#NewTrumpCabinetPositions  Give #DonaldTrump a chance people 😄 https://t.co/dX6aEEqMMZ;positive;positive 
796775519983276032;cant wait bring back manufact mak jobl lib hapy;I can't wait for Trump to bring back manufacturing to the US and make all the jobless liberals happy 😂;positive;positive 
797399940032962560;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796881552030527490;gue presid ther not_ damn thing;RT @Gamecock_Tweets: Guess what? Trump is YOUR president and there's not a damn thing you can do about it 😂;positive;positive 
796789942303105024;many protest aint ev don damn thing yet;So many Trump protests and he ain't even done a damn thing yet 😂;positive;positive 
797297621903806464;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796673815891869696;actua vot ther no_ ned twet no_ on want hear vict bitch;If you actually voted for trump there's no need to tweet. Bc you won, and no one wants to hear your victory bitching. 😂;positive;positive 
796800395859337216;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive;positive 
796775437477310465;mind reply xenophob extrem becom 45th presid;RT @ramsa_b: Mind it @defencepk Reply @realDonaldTrump Xenophobic extremist. And Donald Trump become 45th US president 😂  Hey Pa… ;positive;positive 
797383570503372800;forget man no_ chil;RT @theIeansquad: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/pGjCJWpAKs;positive;positive 
796848211440861184;lol;RT @AshleyNBurgess5: Hey there 😘lol. #Trump https://t.co/IrFLSRWsvw;positive;positive 
796750785858113536;throwbackthursday last sum tok hat found tbt;RT @kaliroses: #ThrowBackThursday to when @NikkitaDiamond and I last summer took a picture in these #Trump hats we found 😜👸🏼👸🏼❤️ #TBT https…;positive;positive 
796803989694255104;forget man no_ chil;RT @BlackPplTweet: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/z4ut8i6KjG;positive;positive 
796755775062503424;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796872300536758272;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
797241430712291328;forget man no_ chil;RT @theIeansquad: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/pGjCJWpAKs;positive;positive 
796550201448296449;cant breath;I CANT BREATHE 😂 https://t.co/QX2LPkRKvE;positive;positive 
797223303773556739;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796753156977946624;sory hop dream dont ex sint elect sist group chat weak;Sorry but hopes and dreams don't exist since trump was elected my sister in our group chat I'm weak 😂;positive;positive 
797234843683651584;lol cry mak depl fel stronger actua grow bas caus no_ on want baby;LOL 😂 crying makes Deplorables feel stronger and actually grows our base cause no one wants to be with babies https://t.co/DMPySdVd3S;positive;positive 
796848734525161472;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796749241561575424;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796773317235580928;omg actua going build wal mexico;OMG he actually IS going to build a wall! #Trump #Mexico 😂😂;positive;positive 
796812767131041793;forget man no_ chil;RT @BIackPpIComedy: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/6X1UuCTtxh;positive;positive 
796880188239790081;lov seing kid protest get hurt presid couldnt hapy makeam;RT @MirkoIvetic: I love seeing these kids protesting and getting butt hurt because Trump is president. Couldn't be more happier 😃 #MakeAmer…;positive;positive 
796669593552982017;much hap world mod black money new presid peopl cry tobleron;So much is happening in the world. Modi and the black money, Trump the new president, and people here are crying about Toblerone. 😅;positive;positive 
796589516731650048;brightsid becom presid know litera anyth pos may teach fly tonight;The Real #BrightSide, if #Trump can become President, I know that literally ANYTHING is possible! So I may teach myself to fly tonight. 😂👈👑💯;positive;positive 
796609155385663488;los folow crack jok elect fuckit bye;Losing 10 followers because I was cracking jokes about Trump and the election 😂 #FuckIt #Bye;positive;positive 
796533871345070080;twet hon among patriot devot depl twet 24/7 swet vict;RT @tamaraleighllc: TY #Trump tweeters!😘 Honored 2b among patriotic devoted #deplorables tweeting @realDonaldTrump 24/7 to sweet victory!🇺🇸…;positive;positive 
796662549525753856;staf watch obam welcom;RT @MahmoudMDarwish: #Whitehouse staff watching #Obama welcome #Trump 😂 https://t.co/qOmFn9V2Y5;positive;positive 
797337955396419584;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive;positive 
796847515387707392;new presid elect got yal wildin;RT @TheShadeRoom: #Trump as the new president elect got y'all wildin' 😩😂 https://t.co/GDtMTihull;positive;positive negative 
796621269076582400;horny sex horny snapch porn girl sexy snap cumtribut hot pusy wet naughtygirl;RT @alii_babygirl: I'm horny af💕😈 #sex #horny #snapchat #porn #girl #sexy #snap #cumtributes #hot #Pussy #wet #dm #NaughtyGirl #trump https…;positive;positive 
796565746306453504;stupid;This is stupid af... 😂 https://t.co/mv0gZjWK88;positive;positive 
797235560062423040;dear americ cant laugh backward afr arab stat anym;RT @ArmchairArab: 😂 - dear America, you can't laugh at any 'backwards' African or Arab states anymore after this https://t.co/XuOlhoSiEl;positive;positive 
796553971649413120;sur non rap going presid;RT @havenrylee: Sure but none of the rappers are going to be our president 😂 https://t.co/YzjGTz8GdC;positive;positive 
